country_code,NUTS3_2006,NUTS3_2010,NUTS3_2013,NUTS3_2016,Source,id,Comment
DE,DE923,DE923,DE923,DE923,NUTS3,DEU_1,
DE,DE925,DE925,DE925,DE925,NUTS3,DEU_1,
DE,DE926,DE926,DE926,DE926,NUTS3,DEU_1,
DE,DE927,DE927,DE927,DE927,NUTS3,DEU_1,
DE,DEB36,DEB36,DEB36,DEB36,NUTS3,DEU_5,
DE,DE928,DE928,DE928,DE928,NUTS3,DEU_1,
DE,DE948,DE948,DE948,DE948,NUTS3,DEU_1,
DE,DE929,DE929,DE929,DE929,NUTS3,DEU_1,
DE,DE932,DE932,DE932,DE932,NUTS3,DEU_1,
DE,DE933,DE933,DE933,DE933,NUTS3,DEU_1,
DE,DE934,DE934,DE934,DE934,NUTS3,DEU_1,
DE,DE935,DE935,DE935,DE935,NUTS3,DEU_1,
DE,DE936,DE936,DE936,DE936,NUTS3,DEU_1,
DE,DE937,DE937,DE937,DE937,NUTS3,DEU_1,
DE,DE938,DE938,DE938,DE938,NUTS3,DEU_1,
DE,DE939,DE939,DE939,DE939,NUTS3,DEU_1,
DE,DE93A,DE93A,DE93A,DE93A,NUTS3,DEU_1,
DE,DE93B,DE93B,DE93B,DE93B,NUTS3,DEU_1,
DE,DE941,DE941,DE941,DE941,NUTS3,DEU_1,
DE,DE931,DE931,DE931,DE931,NUTS3,DEU_1,
DE,DEA27,DEA27,DEA27,DEA27,NUTS3,DEU_3,
DE,DE949,DE949,DE949,DE949,NUTS3,DEU_1,
DE,DE94B,DE94B,DE94B,DE94B,NUTS3,DEU_1,
DE,DEA24,DEA24,DEA24,DEA24,NUTS3,DEU_3,
DE,DEA23,DEA23,DEA23,DEA23,NUTS3,DEU_3,
DE,DEA22,DEA22,DEA22,DEA22,NUTS3,DEU_3,
DE,DEA1F,DEA1F,DEA1F,DEA1F,NUTS3,DEU_3,
DE,DEA1E,DEA1E,DEA1E,DEA1E,NUTS3,DEU_3,
DE,DEA1D,DEA1D,DEA1D,DEA1D,NUTS3,DEU_3,
DE,DEA1C,DEA1C,DEA1C,DEA1C,NUTS3,DEU_3,
DE,DEA1B,DEA1B,DEA1B,DEA1B,NUTS3,DEU_3,
DE,DEA1A,DEA1A,DEA1A,DEA1A,NUTS3,DEU_3,
DE,DEA19,DEA19,DEA19,DEA19,NUTS3,DEU_3,
DE,DEA18,DEA18,DEA18,DEA18,NUTS3,DEU_3,
DE,DE94A,DE94A,DE94A,DE94A,NUTS3,DEU_1,
DE,DEA17,DEA17,DEA17,DEA17,NUTS3,DEU_3,
DE,DEA15,DEA15,DEA15,DEA15,NUTS3,DEU_3,
DE,DEA14,DEA14,DEA14,DEA14,NUTS3,DEU_3,
DE,DEA13,DEA13,DEA13,DEA13,NUTS3,DEU_3,
DE,DEA12,DEA12,DEA12,DEA12,NUTS3,DEU_3,
DE,DEA11,DEA11,DEA11,DEA11,NUTS3,DEU_3,
DE,DE94H,DE94H,DE94H,DE94H,NUTS3,DEU_1,
DE,DE94G,DE94G,DE94G,DE94G,NUTS3,DEU_1,
DE,DE94F,DE94F,DE94F,DE94F,NUTS3,DEU_1,
DE,DE94E,DE94E,DE94E,DE94E,NUTS3,DEU_1,
